rsrp,main_path_delay,strongest_angle
-66.6381,12.8644,47.6759
-65.6248,18.4076,32.7981
-75.8003,17.8158,45.2273
-74.1593,23.6761,35.5005
-83.8511,16.3030,58.4889
-74.5853,31.7040,49.9148
-79.3154,15.8286,47.4337
-79.4212,31.8729,35.0911
-64.5525,27.3006,43.9080
-77.9669,18.6347,48.6222
-62.9940,20.2836,30.9978
-69.6614,16.6332,23.1676
-75.5805,12.8377,50.8685
-54.4467,29.2938,39.2679
-73.7392,23.4439,55.6129
-73.3499,19.2868,67.0693
-70.8596,17.5734,46.1991
-65.3624,14.8918,42.5160
-79.3309,18.6087,63.7692
-64.0662,19.5373,35.6689
-72.4913,25.2537,39.3831
-58.3966,13.1318,42.0995
-56.0579,9.9608,56.8841
-84.8110,19.5496,43.2747
-63.4057,4.2273,25.8219
-74.5281,20.1845,36.0678
-71.7669,14.0691,40.9873
-76.7741,21.2201,50.8142
-58.5366,16.7179,41.8201
-69.6180,18.5254,44.4801
-82.4974,21.8588,35.8481
-77.6557,12.0594,56.6100
-71.1249,25.7475,47.7230
-83.6269,14.5815,52.5793
-76.1255,14.5483,43.2062
-71.4157,14.9407,41.7385
-73.8279,7.0501,50.0266
-76.4910,26.5222,33.4988
-82.6368,25.9381,29.1494
-75.0894,22.9867,41.7035
-83.2438,20.9402,43.0568
-59.7292,22.9432,75.3571
-83.1672,19.8916,34.3335
-60.7620,24.1092,52.5404
-76.2187,16.2742,24.7032
-56.3240,22.5411,42.3914
-62.5319,23.7546,54.7526
-82.9883,16.4308,46.9544
-67.1566,24.7862,34.9136
-68.9823,31.0268,51.9192
-63.0355,19.9041,52.6763
-55.5681,20.5332,57.2398
-77.0011,22.9505,54.0422
-76.0160,25.4906,38.2475
-76.4419,19.9940,64.3199
-67.5268,24.6789,37.6820
-69.3800,14.1172,39.2889
-63.3149,19.8080,59.5130
-71.6193,19.0103,57.7668
-75.1889,12.4012,58.0128
-66.6865,9.1740,45.4453
-73.2303,28.7242,37.7101
-74.6461,15.4480,34.4594
-75.6040,12.8204,34.6880
-82.8527,12.5136,29.4032
-74.1693,16.5816,32.7353
-66.1738,19.7596,40.6802
-73.7118,27.9644,47.3981
-66.1970,7.0698,38.4627
-87.3681,17.8690,48.7331
-75.3944,22.5930,34.7725
-65.3936,12.2320,42.3831
-66.6415,22.6796,43.7274
-54.4823,17.9279,40.4900
-92.0761,28.8447,41.3100
-79.4081,26.6045,57.3551
-69.1334,12.8254,49.1898
-74.9711,14.1461,55.4337
-87.0607,22.8358,49.5936
-53.5919,21.6259,24.4157
-76.6890,20.3233,48.5556
-62.1535,10.2016,41.7005
-62.2411,27.7198,63.6102
-73.1218,25.4880,62.1171
-60.4154,23.6184,53.2780
-76.3191,12.7638,54.8285
-72.7765,19.8593,39.2128
-73.1433,21.1637,34.7814
-69.4520,21.2303,44.2264
-75.9490,23.9331,63.7264
-74.8099,26.1723,53.8926
-91.2260,16.1940,38.6416
-63.7458,20.9424,49.7440
-64.9098,15.5054,37.5345
-79.7831,19.1486,43.8090
-68.6304,16.3635,54.0652
-62.6631,27.7326,52.1131
-68.5159,23.3621,51.0975
-75.2145,26.4469,62.1852
-54.1844,20.1761,48.2427
-66.6691,19.9873,51.1929
-70.9694,19.0311,62.5898
-68.6823,20.3351,53.8202
-68.7973,21.4581,44.3644
-79.7633,19.8451,33.6312
-68.3188,14.0928,54.1671
-64.0061,21.4021,43.9987
-66.6696,10.1750,34.0318
-71.1899,21.7263,44.2060
-78.0369,20.6672,40.4630
-78.5488,21.6475,42.9002
-60.4281,23.3277,52.3467
-67.4267,15.7741,35.6437
-81.7693,34.3951,34.2056
-71.6787,18.1981,42.1890
-74.6724,10.6583,35.0181
-81.1254,19.3661,38.1580
-75.4974,21.0794,39.1721
-62.5432,18.0691,47.2516
-80.6024,23.2844,40.9482
-66.7299,21.6500,43.2656
-68.2605,18.0735,58.4611
-62.5257,22.4125,33.1986
-78.7944,16.6807,42.5500
-66.4159,15.5173,56.7707
-69.9712,9.9361,40.2468
-90.6815,16.2414,39.5087
-74.8833,18.3737,41.0590
-74.7499,27.5125,57.1490
-79.1347,26.2695,28.7863
-76.5169,27.6260,22.6045
-65.4017,13.7325,43.5600
-71.4416,28.4860,36.8940
-70.5521,23.1351,42.4822
-76.5765,19.7040,45.9351
-62.9276,15.2847,40.5087
-67.4165,19.1642,43.1472
-70.1360,16.5208,37.0031
-66.4742,14.5245,56.6538
-68.2616,13.6173,47.8303
-68.6618,23.8108,56.5885
-72.9314,16.4612,38.9402
-77.8487,16.2678,47.8450
-69.8779,17.5432,37.6174
-67.2169,17.4920,34.5984
-71.2134,18.6775,34.2996
-63.3826,24.2301,45.4089
-68.9517,22.6365,44.6908
-62.8697,28.2800,45.8049
-66.4780,24.3673,41.6196
-79.0264,24.5300,29.3124
-55.6893,24.3522,46.8769
-69.5912,28.7568,35.5377
-79.2815,17.0093,42.3820
-78.0518,20.7693,46.3594
-76.5109,28.0153,31.0793
-80.2138,21.8806,42.9252
-66.6582,16.9051,34.6666
-75.1643,16.5820,50.2500
-73.8397,23.8072,50.8808
-61.6752,24.5036,52.8435
-63.8412,17.4165,42.3812
-84.6410,21.4588,38.2623
-66.7876,22.6374,31.4791
-78.1107,18.2533,39.8240
-68.6638,14.2229,45.4718
-83.5079,9.2244,52.1666
-80.4425,17.2004,30.8264
-81.2710,18.0057,40.8987
-62.1393,22.2476,42.3888
-63.9385,25.5828,49.1130
-73.2505,25.0930,62.6852
-64.7157,28.8534,54.2660
-63.2091,14.5491,33.8645
-70.3959,11.6527,39.0705
-63.0613,16.6742,50.3319
-80.8100,17.5318,55.2344
-68.3319,21.4514,62.0472
-59.6256,15.6157,58.1790
-74.9220,19.9121,45.1521
-61.4157,14.3537,49.5186
-65.8079,24.0576,42.8961
-61.9727,16.4423,56.4706
-67.1821,12.9996,49.0792
-68.5656,18.2217,37.6375
-71.9215,12.7892,61.9072
-79.0262,16.6936,56.4490
-65.3198,23.6012,60.1671
-72.4971,14.7675,53.4427
-63.6298,18.3656,32.3442
-60.0868,22.8792,31.2653
-63.7604,12.7951,40.1737
-78.9865,16.8108,36.6669
-74.9065,23.6213,47.9459
-64.9701,25.4617,41.2730
-69.3608,22.6908,62.0674
-62.8074,26.9078,55.1896
-61.5419,11.0766,53.8086
-68.2966,20.2711,39.7274
-73.4022,22.0809,53.3998
-81.9823,21.0905,39.3931
-77.6064,21.9631,41.7128
-75.2723,16.1542,47.8130
-70.0803,14.5418,36.5900
-71.4601,22.0257,34.5029
-66.0951,15.8800,72.2774
-77.5280,16.0494,46.9400
-77.2190,24.1382,63.0142
-73.1010,20.8639,39.8224
-70.0002,27.1587,53.9425
-77.2338,27.7295,56.6206
-66.1091,16.7039,45.6571
-76.3637,22.3380,41.8353
-87.8797,24.6310,46.9145
-61.3721,19.3191,46.8847
-61.0774,21.9390,47.8800
-44.2849,19.1550,46.6919
-56.1278,15.9750,34.5900
-81.4565,22.6683,51.2563
-64.0681,13.2322,55.0586
-60.4219,19.5134,45.3257
-64.5952,21.8357,51.4197
-78.6887,19.1269,32.8753
-64.9498,22.6511,44.0119
-67.6256,12.2174,53.5793
-73.7382,20.6453,56.1537
-76.0520,25.9862,46.2408
-69.7745,22.7802,32.5297
-65.2472,20.3075,55.3628
-71.7345,18.1834,48.6964
-70.4749,14.1302,43.0604
-59.8590,19.5345,36.2954
-64.2725,10.7328,23.7973
-70.0332,20.9046,47.2040
-77.1423,19.2475,31.0127
-68.2435,11.9234,43.5076
-67.9074,11.2169,39.7750
-63.6948,27.7448,29.9604
-67.2807,13.8203,31.5474
-57.2314,23.3409,36.9581
-68.2478,23.2097,46.8129
-52.0218,23.0289,15.0702
-72.3216,16.3171,42.9585
-69.8923,16.7443,34.1508
-59.0928,22.9867,38.2926
-64.5628,23.3759,57.6731
-78.4425,23.8994,38.9221
-60.7596,19.0378,22.2822
-69.7172,11.0792,42.8285
-70.4655,17.9935,30.1308
-78.9258,15.7770,42.5189
-59.6920,23.5454,40.2780
-59.8090,13.1597,51.8502
-71.4019,21.1816,51.3846
-75.4366,24.0058,44.9069
-50.7056,18.4787,57.6917
-64.8233,14.1294,58.6062
-78.4833,8.8400,53.5332
-61.4484,20.2601,42.3898
-57.3305,23.5593,38.4413
-64.1477,13.7835,39.4103
-78.4090,8.9999,33.2271
-60.2214,14.5109,39.4997
-79.2878,24.3280,45.0120
-66.0740,19.4716,33.2897
-77.7915,24.1863,44.4259
-63.8048,4.1870,56.1011
-73.9517,30.8643,39.8924
-69.7738,23.3019,36.2420
-63.0181,16.7739,57.8910
-63.6543,22.4782,37.7581
-71.6846,21.4996,24.6666
-74.4140,24.6904,32.3182
-59.7682,16.8584,48.2326
-79.1813,22.4219,49.6273
-60.9090,26.7704,57.5352
-68.3286,13.8692,58.2377
-80.4331,17.8065,52.3711
-66.4515,27.9653,44.9595
-83.5206,18.6237,46.7406
-72.8049,27.0623,42.5239
-81.4868,22.3339,33.5231
-56.4009,21.3505,30.9672
-61.3649,31.8462,24.9594
-62.7754,22.4201,46.7568
-67.2534,22.4594,38.0700
-58.7121,13.2524,64.5856
-57.7785,14.0693,44.9460
-58.6411,17.5450,43.3759
-73.2190,25.8374,38.9232
-70.0786,22.7011,42.9240
-76.9315,13.2923,29.8174
-79.4384,11.3973,37.7312
-67.5983,20.2705,36.7337
-78.1442,15.0331,31.1210
-79.8870,23.5718,30.9539
-69.8615,16.9097,69.2794
-84.3754,20.9665,41.6625
-76.1690,21.5761,46.5558
-78.5512,22.1314,48.8917
-59.5242,16.9501,59.7044
-71.5745,10.1199,50.2310
-70.6527,15.5882,54.3324
-73.7730,25.0844,44.1730
-63.9974,23.3974,49.7317
-78.2563,24.5986,45.2176
-53.9819,22.3933,52.5113
-76.1191,17.9693,45.9672
-79.3638,14.1486,43.9142
-70.6230,21.0104,56.1710
-73.2027,23.4044,43.5536
-71.5521,21.2853,24.3227
-69.4691,16.8087,35.7016
-85.0959,17.7855,26.2256
-63.0390,18.8035,28.1793
-75.3882,23.7748,39.0512
-72.2497,18.1541,43.7172
-83.5981,19.7727,39.4191
-46.3698,18.9350,40.4438
-62.0922,19.2198,47.5334
-76.9929,27.7761,38.7233
-66.9972,25.6618,41.9550
-70.0012,22.9326,51.8268
-78.7208,20.9074,35.5463
-75.9630,16.7580,57.1598
-57.2274,33.0273,44.4345
-76.7313,15.1526,61.0748
-82.3070,18.4152,39.3394
-56.0000,14.9333,56.0166
-59.4932,19.1661,49.6550
-82.3097,19.5590,42.8497
-90.6367,22.0769,48.5517
-83.5470,12.9386,37.5071
-74.2335,18.4682,35.4188
-78.0629,21.5326,40.2475
-70.8544,18.8516,49.5720
-71.2342,24.3077,46.0300
-62.8877,26.2354,30.3952
-62.6240,28.9141,35.2747
-70.2550,18.2140,49.4083
-65.8401,16.6535,58.1256
-76.8534,19.3084,55.2359
-54.3725,17.4367,52.8229
-68.2397,12.0878,35.4481
-79.6382,17.4834,40.8321
-69.7764,26.3885,49.2248
-48.7755,18.7829,52.8925
-66.6847,27.5328,41.2128
-63.2379,28.1454,37.7919
-70.5990,22.5215,40.6522
-77.0020,29.1637,42.7035
-56.1273,17.4579,42.9291
-63.6229,18.9699,36.0113
-75.7593,21.3634,38.3389
-69.2955,8.7136,39.4188
-71.4425,17.4368,35.0641
-77.0680,20.3526,59.8706
-81.1874,18.6187,54.7705
-67.3243,19.5312,40.4929
-69.8939,19.4947,23.1354
-75.7263,10.2521,57.9106
-63.4188,16.0588,53.0488
-50.4108,16.8846,57.9928
-67.1000,18.8165,33.9409
-74.4474,18.0254,21.8422
-65.7563,18.3913,49.5924
-73.3538,34.9914,28.4272
-77.4645,23.5260,68.5847
-77.9393,29.1461,35.8297
-59.6531,20.3770,67.3000
-55.7441,16.7614,74.3570
-78.9933,18.4319,63.0790
-75.8783,16.7932,46.3063
-66.3801,21.9359,37.5430
-68.4249,23.1871,60.0399
-67.3747,13.7351,45.2842
-74.9647,26.5952,28.2458
-65.5221,14.6730,57.7206
-63.8307,21.0967,50.0494
-72.6950,23.3789,44.5037
-64.1504,20.2929,20.1881
-74.1093,27.5875,59.5254
-69.1636,19.3698,41.6475
-64.9555,22.8952,35.2091
-64.7068,26.1645,35.4514
-71.4947,22.3178,52.2275
-73.3643,17.3566,40.3611
-66.9181,22.1456,44.8058
-80.9138,14.5501,51.3682
-79.7687,21.1318,41.3920
-74.8178,20.1335,61.7635
-67.6895,18.5217,30.2663
-65.9021,25.6835,51.0738
-60.6724,22.3830,31.9673
-70.3596,22.6243,52.2101
-73.9446,19.6832,48.6587
-59.8297,25.0262,51.4632
-66.8302,14.8736,33.9904
-70.7348,25.2079,48.9535
-65.5112,12.4922,30.3835
-61.0409,19.8268,31.8631
-62.9427,21.2902,74.5146
-60.0000,21.7335,43.4889
-68.1416,19.4867,30.6120
-62.5798,21.3743,17.4529
-75.0842,15.8563,54.8089
-70.3524,27.4370,29.0848
-78.6063,25.3355,38.4478
-78.4691,17.3666,37.4018
-65.6854,25.5908,29.1308
-72.3262,20.0712,45.8219
-63.3340,20.5992,39.2020
-78.8951,10.8765,41.2889
-69.8847,24.6086,41.2223
-51.4104,19.6176,40.1666
-66.9552,15.1472,47.0891
-86.5128,23.3805,45.6668
-68.3154,20.7740,32.2624
-77.1890,27.8321,49.9460
-74.7781,22.1054,49.0771
-54.3641,25.5518,49.1117
-73.5935,28.9184,43.9845
-76.9641,13.8988,36.3760
-72.9127,23.8270,54.1319
-60.7914,20.7649,53.3149
-51.9255,24.5514,61.0288
-82.0851,16.2910,37.4889
-91.4163,20.3684,58.9245
-74.2825,20.9772,36.4595
-73.9338,21.4265,33.0422
-60.6077,10.4062,48.2223
-73.9319,27.4457,52.6185
-86.6733,7.8880,34.9864
-74.0178,19.0550,45.3025
-64.6112,13.1700,26.9945
-67.9803,18.1951,43.9663
-75.1346,19.1340,59.8651
-82.9862,13.8723,51.4160
-57.4607,18.9718,32.3728
-86.0090,21.3027,32.5065
-52.5954,31.7080,47.2630
-66.1163,19.4104,56.4180
-70.0246,20.3168,58.6040
-64.9905,30.6549,28.6317
-74.4447,15.4805,53.4178
-73.9487,23.0117,33.3101
-70.7547,31.4850,61.3837
-85.0283,21.8229,53.2635
-73.9473,14.4881,51.6199
-69.1934,22.7627,43.4195
-51.3507,15.4308,40.0400
-65.8809,23.6587,31.2129
-59.6215,12.7094,45.0640
-72.4562,16.4619,56.3325
-88.7764,16.3461,35.9724
-63.0008,27.7521,52.7547
-58.8377,8.8772,46.6360
-81.0643,18.1252,47.4467
-69.2430,26.8788,25.2136
-76.6859,12.5969,28.6121
-61.9538,20.9121,60.5661
-60.5183,20.3408,35.3038
-62.0657,16.5420,33.0058
-79.2033,20.6093,57.6553
-69.5791,26.1221,45.9134
-73.4116,33.6059,63.2104
-68.4247,15.8390,28.9097
-66.7891,18.7224,49.6700
-67.4157,22.1814,56.4223
-67.4862,16.3828,37.2945
-65.3350,14.6409,52.1834
-64.2865,19.7806,37.1858
-84.2107,14.3802,28.7407
-69.7866,17.7886,35.7934
-63.0192,20.6466,45.4759
-65.5351,25.1823,28.9718
-64.3466,10.9553,37.0562
-61.9028,23.4561,51.6474
-68.5433,27.0649,29.5920
-72.4412,20.2367,65.3529
-61.7876,25.1921,37.3865
-52.0027,22.3590,34.9408
-51.2371,12.8655,36.3130
-71.8720,15.0979,50.2721
-67.7859,20.5675,63.9381
-83.0718,26.8319,36.7535
-58.3027,29.5261,68.0155
-71.5241,14.1837,48.2793
-70.4269,11.1858,52.3554
-77.3814,27.2100,54.6516
-72.2507,20.1808,42.5743
-73.6591,35.4916,35.6380
-69.5573,24.9574,41.1566
-75.0283,13.3545,56.9204
-64.3040,22.3497,29.9120
-65.9713,21.4265,41.6194
-81.0139,19.7166,36.2916
-69.3597,20.3167,41.6184
-62.9438,19.6697,50.2909
-66.6528,25.0409,35.3594
-72.7624,24.6100,46.5353
-60.9936,23.7262,40.5532
-62.9559,18.7126,54.5660
-55.1699,25.4580,67.8950
-82.4127,17.2581,42.3366
-73.2023,21.8622,41.3189
-61.1511,24.9238,49.1347
-78.0977,22.7369,51.7429
-67.1689,20.1500,59.0033
-74.3870,18.1665,51.6706
-65.7537,24.2630,42.1599
-80.5176,13.8121,40.6733
-63.6606,23.9613,26.8409
-65.7288,19.5639,34.5789
-52.4738,21.3198,53.2742
-49.4598,17.0944,41.0321
-58.0879,13.4616,45.7397
-69.6303,24.8509,49.0539
-77.3054,24.8612,53.4515
-78.4080,16.5610,39.7419
-79.1947,25.3233,41.7616
-72.2226,14.8112,41.0546
-58.1204,23.7414,28.8260
-77.9177,23.1780,40.0188
-74.4259,15.6975,31.6893
-69.2377,18.0986,56.4038
-70.5337,15.1741,51.9381
-59.2308,16.3213,27.9742
-73.8317,13.2505,61.4162
-81.1020,18.3615,59.7352
-63.0303,17.4317,37.1694
-71.4520,18.7992,59.9640
-71.2373,13.2502,54.8577
-61.7077,18.8660,52.7213
-69.5900,13.9660,44.1893
-79.1574,16.8292,35.6110
-67.3372,20.9324,31.8032
-77.3588,19.9865,49.6437
-69.4221,8.9660,57.8690
-55.8215,27.9190,50.4410
-64.6241,16.7290,46.8858
-79.0450,20.6088,30.7031
-65.3184,18.2272,52.6707
-68.5394,17.7022,53.4333
-79.3872,18.6757,39.6246
-64.0482,19.6224,47.7002
-65.7962,8.2694,35.7368
-69.0726,25.0624,50.7259
-59.5139,18.8919,46.0068
-73.9984,17.8216,36.6956
-74.3462,19.0477,38.4845
-69.7874,10.9068,49.2793
-68.5803,22.2311,40.3650
-74.0658,24.9118,43.4550
-54.1076,12.9694,42.5264
-79.0190,16.0663,37.1001
-73.8459,23.9142,33.5611
-65.1199,12.7956,40.9447
-59.4415,22.3102,47.7228
-64.9592,22.8799,51.2801
-58.7707,14.8077,44.2926
-64.9018,23.7482,50.5806
-59.5477,17.4950,31.5028
-59.8209,19.9960,39.5131
-69.7139,17.8386,55.0621
-62.8787,21.5587,50.4087
-69.7391,25.1325,21.3668
-79.3456,19.8003,40.8652
-77.6041,23.0998,35.2162
-68.2611,20.6214,45.5770
-76.6335,19.0342,57.2694
-65.6518,24.8142,44.1992
-83.6183,17.6677,43.4932
-59.5879,25.6798,49.2485
-76.8522,20.6422,42.3827
-71.9481,13.8324,49.6390
-70.2387,24.0219,30.3837
-79.0159,38.2314,36.1995
-67.6993,22.1888,35.1781
-56.1791,19.6719,46.4948
-55.4529,16.0449,40.1236
-72.7641,13.1368,47.7584
-66.2156,20.9166,51.5583
-63.0748,21.6935,42.5856
-60.2367,16.5167,58.9636
-71.5437,23.8240,63.2655
-88.1184,19.0387,40.9605
-56.3409,17.9659,72.2902
-82.2232,21.7475,41.1370
-65.9593,17.1743,40.4897
-84.5826,20.5409,30.0208
-80.4774,20.4344,43.7865
-61.7833,13.2344,49.2101
-67.4200,18.4881,36.9636
-70.6327,24.4199,41.2624
-63.2216,18.6310,62.2480
-69.7856,19.1223,28.8917
-81.4172,21.9065,42.7255
-67.7498,16.5768,43.4956
-74.9896,21.4760,42.8184
-55.0828,16.5596,56.1881
-78.4359,17.6733,36.5846
-59.9229,22.1849,46.3717
-68.1244,14.5782,59.0291
-58.8838,19.8285,45.1326
-64.8069,19.1237,42.9982
-73.9424,18.2705,40.2394
-64.1612,18.3585,40.7164
-75.0146,12.5025,60.6018
-65.9312,24.3325,39.7010
-58.3424,20.7260,59.5264
-70.1070,19.7767,39.7205
-69.3801,21.1249,59.9270
-57.6823,20.4497,57.1904
-91.7412,17.6485,47.4971
-62.9030,22.1155,44.4395
-73.6920,16.0012,64.0196
-61.0222,26.5389,45.1061
-74.2758,22.7735,44.7538
-71.0246,19.8757,38.6705
-76.9713,18.7880,31.1458
-65.2140,24.1928,37.3046
-84.6194,21.9679,47.3843
-69.8359,13.3279,25.8226
-56.3075,18.9180,50.0440
-70.5660,22.0677,32.2173
-73.5657,13.2232,34.1285
-75.6722,10.9673,40.3880
-75.6871,14.0689,43.6716
